win = 381, tie = 56, loss = 36
win = 382, tie = 56, loss = 36
win = 382, tie = 56, loss = 37
win = 383, tie = 56, loss = 37
win = 384, tie = 56, loss = 37
win = 385, tie = 56, loss = 37
win = 386, tie = 56, loss = 37
win = 386, tie = 56, loss = 38
win = 387, tie = 56, loss = 38
win = 388, tie = 56, loss = 38
win = 388, tie = 57, loss = 38
win = 388, tie = 57, loss = 39
win = 389, tie = 57, loss = 39
win = 390, tie = 57, loss = 39
win = 391, tie = 57, loss = 39
win = 392, tie = 57, loss = 39
win = 393, tie = 57, loss = 39
win = 393, tie = 58, loss = 39
win = 394, tie = 58, loss = 39
win = 394, tie = 59, loss = 39
win = 395, tie = 59, loss = 39
win = 396, tie = 59, loss = 39
win = 396, tie = 59, loss = 40
win = 397, tie = 59, loss = 40
win = 398, tie = 59, loss = 40
win = 399, tie = 59, loss = 40
win = 399, tie = 60, loss = 40
win = 400, tie = 60, loss = 40
win = 400, tie = 61, loss = 40
win = 401, tie = 61, loss = 40
win = 402, tie = 61, loss = 40
win = 403, tie = 61, loss = 40
win = 404, tie = 61, loss = 40
win = 405, tie = 61, loss = 40
win = 406, tie = 61, loss = 40
win = 407, tie = 61, loss = 40
win = 407, tie = 61, loss = 41
win = 408, tie = 61, loss = 41
win = 409, tie = 61, loss = 41
win = 410, tie = 61, loss = 41
win = 411, tie = 61, loss = 41
win = 412, tie = 61, loss = 41
win = 412, tie = 62, loss = 41
win = 413, tie = 62, loss = 41
win = 414, tie = 62, loss = 41
win = 415, tie = 62, loss = 41
win = 416, tie = 62, loss = 41
win = 417, tie = 62, loss = 41
win = 418, tie = 62, loss = 41
win = 419, tie = 62, loss = 41
win = 420, tie = 62, loss = 41
win = 420, tie = 63, loss = 41
win = 421, tie = 63, loss = 41
win = 422, tie = 63, loss = 41
win = 422, tie = 63, loss = 42
win = 423, tie = 63, loss = 42
win = 424, tie = 63, loss = 42
win = 425, tie = 63, loss = 42
win = 426, tie = 63, loss = 42
win = 427, tie = 63, loss = 42
win = 428, tie = 63, loss = 42
win = 429, tie = 63, loss = 42
win = 430, tie = 63, loss = 42
win = 431, tie = 63, loss = 42
win = 431, tie = 63, loss = 43
win = 432, tie = 63, loss = 43
win = 433, tie = 63, loss = 43
win = 434, tie = 63, loss = 43
win = 435, tie = 63, loss = 43
win = 436, tie = 63, loss = 43
win = 437, tie = 63, loss = 43
win = 438, tie = 63, loss = 43
win = 439, tie = 63, loss = 43
win = 439, tie = 63, loss = 44
win = 439, tie = 63, loss = 45
win = 440, tie = 63, loss = 45
win = 441, tie = 63, loss = 45
win = 442, tie = 63, loss = 45
win = 443, tie = 63, loss = 45
win = 443, tie = 64, loss = 45
win = 444, tie = 64, loss = 45
win = 445, tie = 64, loss = 45
win = 445, tie = 64, loss = 46
win = 446, tie = 64, loss = 46
win = 447, tie = 64, loss = 46
win = 448, tie = 64, loss = 46
win = 449, tie = 64, loss = 46
win = 450, tie = 64, loss = 46
win = 451, tie = 64, loss = 46
win = 452, tie = 64, loss = 46
win = 453, tie = 64, loss = 46
win = 454, tie = 64, loss = 46
win = 455, tie = 64, loss = 46
win = 456, tie = 64, loss = 46
win = 456, tie = 65, loss = 46
win = 457, tie = 65, loss = 46
win = 458, tie = 65, loss = 46
win = 459, tie = 65, loss = 46
win = 460, tie = 65, loss = 46
win = 461, tie = 65, loss = 46
win = 462, tie = 65, loss = 46
win = 463, tie = 65, loss = 46
win = 463, tie = 66, loss = 46
win = 464, tie = 66, loss = 46
win = 464, tie = 66, loss = 47
win = 464, tie = 66, loss = 48
win = 465, tie = 66, loss = 48
win = 466, tie = 66, loss = 48
win = 467, tie = 66, loss = 48
win = 467, tie = 66, loss = 49
win = 468, tie = 66, loss = 49
win = 469, tie = 66, loss = 49
win = 470, tie = 66, loss = 49
win = 471, tie = 66, loss = 49
win = 472, tie = 66, loss = 49
win = 473, tie = 66, loss = 49
win = 474, tie = 66, loss = 49
win = 475, tie = 66, loss = 49
win = 476, tie = 66, loss = 49
win = 477, tie = 66, loss = 49
win = 477, tie = 66, loss = 50
win = 478, tie = 66, loss = 50
win = 479, tie = 66, loss = 50
win = 479, tie = 66, loss = 51
win = 480, tie = 66, loss = 51
win = 481, tie = 66, loss = 51
win = 482, tie = 66, loss = 51
win = 482, tie = 66, loss = 52
win = 483, tie = 66, loss = 52
win = 484, tie = 66, loss = 52
win = 485, tie = 66, loss = 52
win = 485, tie = 67, loss = 52
win = 486, tie = 67, loss = 52
win = 486, tie = 68, loss = 52
win = 486, tie = 69, loss = 52
win = 486, tie = 69, loss = 53
win = 486, tie = 69, loss = 54
win = 486, tie = 70, loss = 54
win = 487, tie = 70, loss = 54
win = 488, tie = 70, loss = 54
win = 488, tie = 70, loss = 55
win = 489, tie = 70, loss = 55
